Date,"Weight (kg)","Fat mass (kg)","Bone mass (kg)","Muscle mass (kg)","Hydration (kg)",Comments
"2022-08-19 11:18:17",54.45,,,,,
"2022-08-17 13:04:10",53.97,,,,,
"2022-08-16 06:33:56",54.36,,,,,
"2022-08-11 14:55:40",54.29,,,,,
"2022-08-03 08:21:11",53.73,,,,,
"2022-08-01 10:25:04",54.39,,,,,
"2022-07-31 15:39:46",53.77,,,,,
"2022-07-30 15:57:30",53.60,,,,,
"2022-07-29 10:45:18",53.93,,,,,
"2022-07-28 09:49:53",54.07,,,,,
"2022-07-27 10:19:47",53.99,,,,,
"2022-07-26 10:51:21",54.11,,,,,
"2022-07-25 09:05:37",54.32,,,,,
"2022-07-24 09:02:13",54.05,,,,,
"2022-07-23 17:53:46",54.27,,,,,
"2022-07-22 12:34:52",53.84,,,,,
"2022-07-21 07:21:28",54.24,,,,,
"2022-07-20 12:36:26",54.28,,,,,
"2022-07-19 18:00:11",54.26,,,,,
"2022-07-18 08:08:55",54.33,,,,,
"2022-07-17 15:59:08",53.46,,,,,
"2022-07-16 16:31:17",53.77,,,,,
"2022-07-15 08:09:14",53.74,,,,,
"2022-07-14 07:43:44",54.09,,,,,
"2022-07-13 13:38:19",53.62,,,,,
"2022-07-06 12:30:42",53.68,,,,,
"2022-07-05 14:33:10",53.55,,,,,
"2022-07-04 10:50:16",53.84,,,,,
"2022-07-03 17:12:06",53.83,,,,,
"2022-07-02 13:20:41",54.54,,,,,
"2022-07-01 16:44:58",53.99,,,,,
"2022-06-30 09:20:48",53.95,,,,,
"2022-06-29 13:55:24",54.49,,,,,
"2022-06-28 08:57:18",53.71,,,,,
"2022-06-27 16:42:46",53.50,,,,,
"2022-06-24 05:01:41",53.94,,,,,
"2022-06-23 17:18:45",54.08,,,,,
"2022-06-22 08:02:47",53.80,,,,,
"2022-06-21 11:08:39",54.00,,,,,
"2022-06-20 14:24:43",53.96,,,,,
"2022-06-19 17:20:49",53.41,,,,,
"2022-06-18 14:52:05",53.83,,,,,
"2022-06-17 12:38:33",53.83,,,,,
"2022-06-16 09:43:26",53.85,,,,,
"2022-06-15 08:17:23",54.08,,,,,
"2022-06-14 12:21:22",53.88,,,,,
"2022-06-13 19:09:19",53.58,,,,,
